[72, array([ -1.95604377e-05,  -9.53113944e-07]), 5.5401125017784381e-05, 0.00019080239194559922]
[73, array([ -1.95604377e-05,  -9.53113944e-07]), 5.5401125017784381e-05, 0.00015812126998708819]
[74, array([  5.76745749e-06,  -9.17232029e-07]), 1.6518748332305933e-05, 0.00014166816058081011]
[75, array([  5.76745749e-06,  -9.17232029e-07]), 1.6518748332305933e-05, 0.00012633379282851466]
[76, array([ -5.65187622e-06,  -9.17232029e-07]), 1.6195938780771968e-05, 0.00010468215762982069]
[77, array([ -5.65187622e-06,  -9.17232029e-07]), 1.6195938780771968e-05, 9.3185805476547762e-05]
[78, array([ -5.65187622e-06,  -9.17232029e-07]), 1.6195938780771968e-05, 7.7937784161452578e-05]
[79, array([  1.25446103e-07,  -1.53075105e-06]), 4.3441949597600171e-06, 6.0000533425164095e-05]
#############################################################
[1, array([ 2.01928793,  2.03696557]), 6.7149233573038138, 18.088589611079541]
[2, array([ 2.01928793,  2.03696557]), 6.7149233573038138, 17.454187622603008]
[3, array([ 2.01928793,  2.03696557]), 6.7149233573038138, 15.760109538276202]
[4, array([ 2.01928793,  2.03696557]), 6.7149233573038138, 15.167898927041771]
[5, array([ 2.01928793,  2.03696557]), 6.7149233573038138, 14.62403156873323]
[6, array([ 2.01928793,  2.03696557]), 6.7149233573038138, 14.506563831065591]
[7, array([ 2.01928793,  2.03696557]), 6.7149233573038138, 13.678487936773584]
[8, array([ 2.01928793,  2.03696557]), 6.7149233573038138, 12.88615198511865]
[9, array([ 2.01928793,  2.03696557]), 6.7149233573038138, 12.799438025224834]
[10, array([ 0.79115326,  0.30265325]), 4.0101800139466057, 11.603240451587649]
[11, array([ 0.79115326,  0.30265325]), 4.0101800139466057, 10.347653075191005]
[12, array([ 0.79115326,  0.30265325]), 4.0101800139466057, 8.7520080691860471]
[13, array([-0.06009149, -0.01842062]), 0.27981234364838103, 7.9707831891636971]
[14, array([-0.06009149, -0.01842062]), 0.27981234364838103, 7.4138793041087609]
[15, array([-0.06009149, -0.01842062]), 0.27981234364838103, 7.2675162400355031]
[16, array([-0.06009149, -0.01842062]), 0.27981234364838103, 6.4459640934530098]
[17, array([-0.06009149, -0.01842062]), 0.27981234364838103, 6.1898989771302091]
[18, array([-0.06009149, -0.01842062]), 0.27981234364838103, 5.5834078265557334]
[19, array([-0.06009149, -0.01842062]), 0.27981234364838103, 5.0913214278270891]
[20, array([-0.06009149, -0.01842062]), 0.27981234364838103, 4.5931664691965235]
[21, array([-0.06009149, -0.01842062]), 0.27981234364838103, 3.8293377809380464]
[22, array([-0.06009149, -0.01842062]), 0.27981234364838103, 3.515156438833523]
[23, array([-0.06009149, -0.01842062]), 0.27981234364838103, 3.3849259511638081]
[24, array([ 0.04467162,  0.01323168]), 0.18861267949757421, 2.7388314782210017]
[25, array([ 0.04467162,  0.01323168]), 0.18861267949757421, 2.7085806111024326]
[26, array([ 0.04467162,  0.01323168]), 0.18861267949757421, 2.5409866349020156]
[27, array([ 0.00992441, -0.04091112]), 0.16560537051799473, 2.2425156933706445]
[28, array([ 0.00992441, -0.04091112]), 0.16560537051799473, 2.1090604162307218]
[29, array([ 0.00992441, -0.04091112]), 0.16560537051799473, 1.9753623736656809]
[30, array([ 0.00992441, -0.04091112]), 0.16560537051799473, 1.710861675776675]
[31, array([ 0.00992441, -0.04091112]), 0.16560537051799473, 1.3168773810917649]
[32, array([-0.00844507, -0.0083343 ]), 0.037304724940395051, 1.1249689695223728]
[33, array([-0.00844507, -0.0083343 ]), 0.037304724940395051, 0.841794809313407]
[34, array([-0.00844507, -0.0083343 ]), 0.037304724940395051, 0.62245772849722092]
[35, array([-0.00844507, -0.0083343 ]), 0.037304724940395051, 0.42563281321676438]
[36, array([-0.00844507, -0.0083343 ]), 0.037304724940395051, 0.32640364856235654]
[37, array([-0.00844507, -0.0083343 ]), 0.037304724940395051, 0.25274637295241942]
[38, array([-0.00780271, -0.00287599]), 0.025361307394458965, 0.16577562586379893]
[39, array([ 0.00537441,  0.00057913]), 0.016067018710554937, 0.11818213884238889]
[40, array([ 0.00537441,  0.00057913]), 0.016067018710554937, 0.10172254199899777]
[41, array([ 0.00537441,  0.00057913]), 0.016067018710554937, 0.083704634679178103]
[42, array([ 0.00537441,  0.00057913]), 0.016067018710554937, 0.076679906339129203]
[43, array([ 0.00537441,  0.00057913]), 0.016067018710554937, 0.064635640757150531]
[44, array([ 0.00249919, -0.001949  ]), 0.0092316251463953058, 0.051628143228210188]
[45, array([ 0.00249919, -0.001949  ]), 0.0092316251463953058, 0.042189051473420405]
[46, array([-0.00141114, -0.00247613]), 0.0082773200569126182, 0.028687711507873016]
[47, array([-0.00141114, -0.00247613]), 0.0082773200569126182, 0.024833729034844244]
[48, array([  4.36266231e-05,  -2.80025464e-03]), 0.0081301190198961315, 0.017927151074537396]
[49, array([-0.00216251,  0.00057085]), 0.0064592191715857616, 0.016052667918494821]
[50, array([ 0.00064114, -0.00069797]), 0.0027045370898552967, 0.014773370840728273]
[51, array([-0.00065067,  0.00063882]), 0.0026012165718012348, 0.01244879159449459]
[52, array([-0.00065067,  0.00063882]), 0.0026012165718012348, 0.010651114546090046]
[53, array([-0.00065067,  0.00063882]), 0.0026012165718012348, 0.0093461559026404295]
[54, array([ -6.27742959e-04,   4.53231363e-05]), 0.001790694854669983, 0.0072250810572945133]
[55, array([ -6.27742959e-04,   4.53231363e-05]), 0.001790694854669983, 0.006097729070571223]
